delta_b,delta_D,S_mean,S_std
0.10000000000000003,2.0,0.8642883722600324,0.18478709056441817
0.15000000000000008,-2.0,-0.984257861413651,0.014785703949330521
0.15000000000000008,-1.75,-0.9383690874647002,0.03697235944065792
0.15000000000000008,-1.5,-0.9405916220053022,0.05366575545284196
0.15000000000000008,-1.25,-0.9405753771813028,0.03383344902657298
0.15000000000000008,-1.0,-0.8939209960034384,0.10001265969323163
0.15000000000000008,-0.75,-0.8780456911745848,0.12717392241118033
0.15000000000000008,-0.5,-0.8997415954429032,0.08827978219206847
0.15000000000000008,-0.25,-0.9221399336131176,0.07992982825739858
0.15000000000000008,0.0,-0.515491215035081,0.42776532872944106
0.15000000000000008,0.25,-0.14327707174125054,0.41638028391059456
0.15000000000000008,0.5,-0.05823284745835988,0.2455108879616594
0.15000000000000008,0.75,0.5022762513827292,0.2932749061545658
0.15000000000000008,1.0,0.530746692802684,0.17138664372671594
0.15000000000000008,1.25,0.6982754302749928,0.3287960661363628
0.15000000000000008,1.5,0.7901769803793701,0.1889532095801041
0.15000000000000008,1.75,0.9255157536133372,0.04817912398453865
0.15000000000000008,2.0,0.8773866008435922,0.16354138971157
0.2,-2.0,-0.9389105804041293,0.05501677840927532
0.2,-1.75,-0.9695470415259118,0.02362750635078483
0.2,-1.5,-0.9248084802447677,0.052268437074232024
0.2,-1.25,-0.9382236239355578,0.03260702656888488
0.2,-1.0,-0.9256179995725236,0.06444561433287074
0.2,-0.75,-0.9619330768995871,0.03536348082478269
0.2,-0.5,-0.9026117016757276,0.08180468435581861
0.2,-0.25,-0.8964115041394791,0.06384614523525647
0.2,0.0,-0.6213107593744371,0.3179730882435008
0.2,0.25,-0.7856006743657118,0.16884448099086977
0.2,0.5,-0.39813414010487325,0.3966883275373122
0.2,0.75,0.738824510129376,0.2658819730195584
0.2,1.0,-0.18761614038779167,0.6582219772084508
0.2,1.25,0.503912092397434,0.6558327718342448
0.2,1.5,0.840368760636901,0.2353011110183643
0.2,1.75,0.9507789199422515,0.03194308244598263
0.2,2.0,0.8889513520570711,0.08425563015983178
0.25000000000000006,-2.0,-0.9801207744834451,0.012769048436452846
0.25000000000000006,-1.75,-0.9705443971520371,0.02774807850147228
0.25000000000000006,-1.5,-0.9777279982570908,0.019928615126343124
0.25000000000000006,-1.25,-0.9804950652708477,0.018888830496930444
0.25000000000000006,-1.0,-0.9653568623068116,0.03253266197536813
0.25000000000000006,-0.75,-0.938982405827393,0.07445341324025419
0.25000000000000006,-0.5,-0.8603028190298273,0.11977562054231806
0.25000000000000006,-0.25,-0.8712087548506359,0.12665528043570115
0.25000000000000006,0.0,-0.9502865444239408,0.026667352147614877
0.25000000000000006,0.25,-0.6940963289435563,0.27662589737932824
0.25000000000000006,0.5,-0.11830966416327646,0.6722884114021555
0.25000000000000006,0.75,-0.08665675620104141,0.5097087683339313
0.25000000000000006,1.0,0.3171001449222585,0.48658248546229244
0.25000000000000006,1.25,0.3970587222099583,0.32919898140427667
0.25000000000000006,1.5,0.8599559430285089,0.1592763362951476
0.25000000000000006,1.75,0.8826968496277205,0.0686959030170224
0.25000000000000006,2.0,0.9127033313403918,0.05751505251749805
0.3,-2.0,-0.957104785211131,0.032877170245450504
